,Station,City,kelurahan
266,Tambora,Jakarta Barat,Tanah Sereal
36,Taman Sari,Jakarta Barat,Glodok
37,Tambora,Jakarta Barat,Angke
38,Kebon Jeruk,Jakarta Barat,Duri Kepa
39,Kalideres,Jakarta Barat,Kalideres
40,Palmerah,Jakarta Barat,Jatipulo
81,Tambora,Jakarta Barat,Duri Selatan
170,Kembangan,Jakarta Barat,Meruya Selatan
169,Palmerah,Jakarta Barat,Kota Bambu Utara
168,Kalideres,Jakarta Barat,Semanan
167,Kebon Jeruk,Jakarta Barat,Kedoya Utara
166,Tambora,Jakarta Barat,Jembatan Besi
165,Taman Sari,Jakarta Barat,Mangga Besar
164,Grogol Petamburan,Jakarta Barat,Tanjung Duren Selatan
163,Cengkareng,Jakarta Barat,Kapuk
265,Tambora,Jakarta Barat,Tambora
129,Kembangan,Jakarta Barat,Kembangan Utara
128,Palmerah,Jakarta Barat,Kota Bambu Selatan
127,Kalideres,Jakarta Barat,Pegadungan
126,Kebon Jeruk,Jakarta Barat,Kedoya Selatan
125,Tambora,Jakarta Barat,Duri Utara
124,Taman Sari,Jakarta Barat,Krukut
123,Grogol Petamburan,Jakarta Barat,Jelambar
122,Cengkareng,Jakarta Barat,Duri Kosambi
85,Kembangan,Jakarta Barat,Kembangan Selatan
84,Palmerah,Jakarta Barat,Kemanggisan
83,Kalideres,Jakarta Barat,Kamal
78,Cengkareng,Jakarta Barat,Cengkareng Timur
79,Grogol Petamburan,Jakarta Barat,Jelambar Baru
80,Taman Sari,Jakarta Barat,Keagungan
35,Grogol Petamburan,Jakarta Barat,Grogol
34,Cengkareng,Jakarta Barat,Cengkareng Barat
41,Kembangan,Jakarta Barat,Joglo
232,Taman Sari,Jakarta Barat,Pinangsia
263,Tambora,Jakarta Barat,Roa Malaka
261,Tambora,Jakarta Barat,Pekojan
260,Taman Sari,Jakarta Barat,Tangki
254,Kebon Jeruk,Jakarta Barat,Sukabumi Utara
253,Tambora,Jakarta Barat,Krendang
252,Taman Sari,Jakarta Barat,Taman Sari
251,Grogol Petamburan,Jakarta Barat,Wijaya Kusuma
236,Kembangan,Jakarta Barat,Srengseng
235,Palmerah,Jakarta Barat,Slipi
234,Kebon Jeruk,Jakarta Barat,Sukabumi Selatan
233,Tambora,Jakarta Barat,Kali Anyar
231,Grogol Petamburan,Jakarta Barat,Tomang
230,Cengkareng,Jakarta Barat,Rawa Buaya
82,Kebon Jeruk,Jakarta Barat,Kebon Jeruk
205,Kebon Jeruk,Jakarta Barat,Kelapa Dua
206,Kalideres,Jakarta Barat,Tegal Alur
207,Palmerah,Jakarta Barat,Palmerah
203,Taman Sari,Jakarta Barat,Maphar
202,Grogol Petamburan,Jakarta Barat,Tanjung Duren Utara
204,Tambora,Jakarta Barat,Jembatan Lima
201,Cengkareng,Jakarta Barat,Kedaung Kali Angke
208,Kembangan,Jakarta Barat,Meruya Utara
88,Cempaka Putih,Jakarta Pusat,Rawasari
95,Tanah Abang,Jakarta Pusat,Kampung Bali
90,Johar Baru,Jakarta Pusat,Kampung Rawa
176,Tanah Abang,Jakarta Pusat,Kebon Kacang
91,Kemayoran,Jakarta Pusat,Harapan Mulya
92,Menteng,Jakarta Pusat,Kebon Sirih
175,Senen,Jakarta Pusat,Paseban
93,Sawah Besar,Jakarta Pusat,Kartini
94,Senen,Jakarta Pusat,Kramat
255,Kemayoran,Jakarta Pusat,Utan Panjang
89,Gambir,Jakarta Pusat,Gambir
211,Senen,Jakarta Pusat,Senen
238,Tanah Abang,Jakarta Pusat,Petamburan
237,Kemayoran,Jakarta Pusat,Sumur Batu
172,Kemayoran,Jakarta Pusat,Kemayoran
171,Gambir,Jakarta Pusat,Petojo Selatan
132,Gambir,Jakarta Pusat,Kebon Kelapa
174,Sawah Besar,Jakarta Pusat,Pasar Baru
134,Kemayoran,Jakarta Pusat,Kebon Kosong
135,Menteng,Jakarta Pusat,Menteng
136,Sawah Besar,Jakarta Pusat,Mangga Dua Selatan
137,Senen,Jakarta Pusat,Kwitang
138,Tanah Abang,Jakarta Pusat,Karet Tengsin
209,Gambir,Jakarta Pusat,Petojo Utara
212,Tanah Abang,Jakarta Pusat,Kebon Melati
210,Kemayoran,Jakarta Pusat,Serdang
173,Menteng,Jakarta Pusat,Pegangsaan
0,Cempaka Putih,Jakarta Pusat,Cempaka Putih Barat
133,Johar Baru,Jakarta Pusat,Tanah Tinggi
44,Cempaka Putih,Jakarta Pusat,Cempaka Putih Timur
45,Gambir,Jakarta Pusat,Duri Pulo
46,Johar Baru,Jakarta Pusat,Johar Baru
47,Kemayoran,Jakarta Pusat,Gunung Sahari Selatan
48,Menteng,Jakarta Pusat,Gondangdia
49,Sawah Besar,Jakarta Pusat,Karang Anyar
50,Senen,Jakarta Pusat,Kenari
7,Tanah Abang,Jakarta Pusat,Bendungan Hilir
6,Senen,Jakarta Pusat,Bungur
51,Tanah Abang,Jakarta Pusat,Gelora
4,Menteng,Jakarta Pusat,Cikini
3,Kemayoran,Jakarta Pusat,Cempaka Baru
2,Johar Baru,Jakarta Pusat,Galur
5,Sawah Besar,Jakarta Pusat,Gunung Sahari Utara
1,Gambir,Jakarta Pusat,Cideng
193,Kebayoran Baru,Jakarta Selatan,Melawai
192,Jagakarsa,Jakarta Selatan,Srengseng Sawah
191,Cilandak,Jakarta Selatan,Pondok Labu
30,Pasar Minggu,Jakarta Selatan,Cilandak Timur
77,Tebet,Jakarta Selatan,Kebon Baru
32,Setiabudi,Jakarta Selatan,Guntur
33,Tebet,Jakarta Selatan,Bukit Duri
156,Kebayoran Lama,Jakarta Selatan,Kebayoran Lama Selatan
157,Mampang Prapatan,Jakarta Selatan,Pela Mampang
158,Pancoran,Jakarta Selatan,Pancoran
194,Kebayoran Lama,Jakarta Selatan,Kebayoran Lama Utara
162,Tebet,Jakarta Selatan,Manggarai
161,Setiabudi,Jakarta Selatan,Karet
160,Pesanggrahan,Jakarta Selatan,Petukangan Utara
159,Pasar Minggu,Jakarta Selatan,Pasar Minggu
155,Kebayoran Baru,Jakarta Selatan,Kramat Pela
195,Mampang Prapatan,Jakarta Selatan,Tegal Parang
199,Setiabudi,Jakarta Selatan,Kuningan Timur
197,Pasar Minggu,Jakarta Selatan,Pejaten Barat
264,Kebayoran Baru,Jakarta Selatan,Senayan
262,Kebayoran Baru,Jakarta Selatan,Selong
259,Setiabudi,Jakarta Selatan,Setiabudi
258,Kebayoran Baru,Jakarta Selatan,Rawa Barat
250,Tebet,Jakarta Selatan,Tebet Timur
249,Setiabudi,Jakarta Selatan,Pasar Manggis
248,Pasar Minggu,Jakarta Selatan,Ragunan
247,Kebayoran Baru,Jakarta Selatan,Pulo
229,Tebet,Jakarta Selatan,Tebet Barat
228,Setiabudi,Jakarta Selatan,Menteng Atas
227,Pasar Minggu,Jakarta Selatan,Pejaten Timur
196,Pancoran,Jakarta Selatan,Pengadegan
226,Pancoran,Jakarta Selatan,Rawajati
224,Kebayoran Baru,Jakarta Selatan,Petogogan
223,Jagakarsa,Jakarta Selatan,Tanjung Barat
24,Cilandak,Jakarta Selatan,Cilandak Barat
25,Jagakarsa,Jakarta Selatan,Ciganjur
26,Kebayoran Baru,Jakarta Selatan,Cipete Utara
27,Kebayoran Lama,Jakarta Selatan,Cipulir
28,Mampang Prapatan,Jakarta Selatan,Bangka
29,Pancoran,Jakarta Selatan,Cikoko
200,Tebet,Jakarta Selatan,Menteng Dalam
154,Jagakarsa,Jakarta Selatan,Lenteng Agung
198,Pesanggrahan,Jakarta Selatan,Ulujami
225,Kebayoran Lama,Jakarta Selatan,Pondok Pinang
153,Cilandak,Jakarta Selatan,Lebak Bulus
76,Setiabudi,Jakarta Selatan,Karet Kuningan
31,Pesanggrahan,Jakarta Selatan,Bintaro
115,Kebayoran Lama,Jakarta Selatan,Grogol Utara
116,Mampang Prapatan,Jakarta Selatan,Mampang Prapatan
117,Pancoran,Jakarta Selatan,Kalibata
118,Pasar Minggu,Jakarta Selatan,Kebagusan
119,Pesanggrahan,Jakarta Selatan,Petukangan Selatan
120,Setiabudi,Jakarta Selatan,Karet Semanggi
121,Tebet,Jakarta Selatan,Manggarai Selatan
112,Cilandak,Jakarta Selatan,Gandaria Selatan
114,Kebayoran Baru,Jakarta Selatan,Gunung
113,Jagakarsa,Jakarta Selatan,Jagakarsa
68,Cilandak,Jakarta Selatan,Cipete Selatan
75,Pesanggrahan,Jakarta Selatan,Pesanggrahan
74,Pasar Minggu,Jakarta Selatan,Jati Padang
73,Pancoran,Jakarta Selatan,Duren Tiga
72,Mampang Prapatan,Jakarta Selatan,Kuningan Barat
71,Kebayoran Lama,Jakarta Selatan,Grogol Selatan
70,Kebayoran Baru,Jakarta Selatan,Gandaria Utara
69,Jagakarsa,Jakarta Selatan,Cipedak
19,Kramat Jati,Jakarta Timur,Balekambang
20,Makasar,Jakarta Timur,Cipinang Melayu
21,Matraman,Jakarta Timur,Kayu Manis
22,Pasar Rebo,Jakarta Timur,Baru
23,Pulo Gadung,Jakarta Timur,Cipinang
67,Pulo Gadung,Jakarta Timur,Jati
108,Makasar,Jakarta Timur,Kebon Pala
109,Matraman,Jakarta Timur,Pal Meriam
18,Jatinegara,Jakarta Timur,Bali Mester
111,Pulo Gadung,Jakarta Timur,Jatinegara Kaum
256,Cipayung,Jakarta Timur,Setu
257,Jatinegara,Jakarta Timur,Rawa Bunga
145,Ciracas,Jakarta Timur,Rambutan
110,Pasar Rebo,Jakarta Timur,Gedong
217,Cipayung,Jakarta Timur,Munjul
218,Duren Sawit,Jakarta Timur,Pondok Kelapa
246,Pulo Gadung,Jakarta Timur,Rawamangun
245,Kramat Jati,Jakarta Timur,Tengah
244,Jatinegara,Jakarta Timur,Kampung Melayu
243,Duren Sawit,Jakarta Timur,Pondok Kopi
242,Cipayung,Jakarta Timur,Pondok Ranggon
241,Cakung,Jakarta Timur,Ujung Menteng
14,Cakung,Jakarta Timur,Cakung Barat
15,Cipayung,Jakarta Timur,Bambu Apus
216,Cakung,Jakarta Timur,Rawa Terate
16,Ciracas,Jakarta Timur,Cibubur
102,Cakung,Jakarta Timur,Jatinegara
103,Cipayung,Jakarta Timur,Cilangkap
104,Ciracas,Jakarta Timur,Kelapa Dua Wetan
105,Duren Sawit,Jakarta Timur,Malaka Jaya
106,Jatinegara,Jakarta Timur,Cipinang Besar Selatan
221,Matraman,Jakarta Timur,Utan Kayu Utara
220,Kramat Jati,Jakarta Timur,Kramat Jati
219,Jatinegara,Jakarta Timur,Cipinang Muara
17,Duren Sawit,Jakarta Timur,Duren Sawit
222,Pulo Gadung,Jakarta Timur,Pulo Gadung
146,Duren Sawit,Jakarta Timur,Malaka Sari
190,Pulo Gadung,Jakarta Timur,Pisangan Timur
62,Jatinegara,Jakarta Timur,Bidara Cina
61,Duren Sawit,Jakarta Timur,Klender
60,Ciracas,Jakarta Timur,Ciracas
59,Cipayung,Jakarta Timur,Ceger
58,Cakung,Jakarta Timur,Cakung Timur
66,Pasar Rebo,Jakarta Timur,Cijantung
63,Kramat Jati,Jakarta Timur,Batu Ampar
143,Cakung,Jakarta Timur,Penggilingan
152,Pulo Gadung,Jakarta Timur,Kayu Putih
151,Pasar Rebo,Jakarta Timur,Kalisari
150,Matraman,Jakarta Timur,Pisangan Baru
149,Makasar,Jakarta Timur,Makasar
148,Kramat Jati,Jakarta Timur,Cililitan
147,Jatinegara,Jakarta Timur,Cipinang Besar Utara
144,Cipayung,Jakarta Timur,Cipayung
64,Makasar,Jakarta Timur,Halim Perdana Kusuma
107,Kramat Jati,Jakarta Timur,Cawang
65,Matraman,Jakarta Timur,Kebon Manggis
189,Pasar Rebo,Jakarta Timur,Pekayon
188,Matraman,Jakarta Timur,Utan Kayu Selatan
187,Makasar,Jakarta Timur,Pinang Ranti
186,Kramat Jati,Jakarta Timur,Dukuh
185,Jatinegara,Jakarta Timur,Cipinang Cempedak
184,Duren Sawit,Jakarta Timur,Pondok Bambu
183,Ciracas,Jakarta Timur,Susukan
182,Cipayung,Jakarta Timur,Lubang Buaya
181,Cakung,Jakarta Timur,Pulo Gebang
52,Cilincing,Jakarta Utara,Kalibaru
139,Cilincing,Jakarta Utara,Rorotan
99,Pademangan,Jakarta Utara,Pademangan Timur
98,Koja,Jakarta Utara,Rawa Badak Selatan
97,Kelapa Gading,Jakarta Utara,Pegangsaan Dua
177,Cilincing,Jakarta Utara,Semper Barat
8,Cilincing,Jakarta Utara,Cilincing
140,Koja,Jakarta Utara,Rawa Badak Utara
53,Kelapa Gading,Jakarta Utara,Kelapa Gading Timur
142,Tanjung Priok,Jakarta Utara,Sunter Agung
96,Cilincing,Jakarta Utara,Marunda
141,Penjaringan,Jakarta Utara,Penjaringan
54,Koja,Jakarta Utara,Lagoa
56,Penjaringan,Jakarta Utara,Kapuk Muara
178,Koja,Jakarta Utara,Tugu Selatan
179,Penjaringan,Jakarta Utara,Pluit
215,Tanjung Priok,Jakarta Utara,Tanjung Priok
214,Koja,Jakarta Utara,Tugu Utara
213,Cilincing,Jakarta Utara,Semper Timur
101,Tanjung Priok,Jakarta Utara,Sungai Bambu
55,Pademangan,Jakarta Utara,Pademangan Barat
100,Penjaringan,Jakarta Utara,Pejagalan
57,Tanjung Priok,Jakarta Utara,Papanggo
12,Penjaringan,Jakarta Utara,Kamal Muara
11,Pademangan,Jakarta Utara,Ancol
10,Koja,Jakarta Utara,Koja
9,Kelapa Gading,Jakarta Utara,Kelapa Gading Barat
239,Cilincing,Jakarta Utara,Sukapura
240,Tanjung Priok,Jakarta Utara,Warakas
180,Tanjung Priok,Jakarta Utara,Sunter Jaya
13,Tanjung Priok,Jakarta Utara,Kebon Bawang
131,Kepulauan Seribu Selatan,Kepuluan Seribu,Pulau Untung Jawa
130,Kepulauan Seribu Utara,Kepuluan Seribu,Pulau Panggang
43,Kepulauan Seribu Selatan,Kepuluan Seribu,Pulau Pari
42,Kepulauan Seribu Utara,Kepuluan Seribu,Pulau Harapan
87,Kepulauan Seribu Selatan,Kepuluan Seribu,Pulau Tidung
86,Kepulauan Seribu Utara,Kepuluan Seribu,Pulau Kelapa
